entry_fee_foreign_inr,open_hours_tue,description,open_hours_sat,last_verified,famous_for,access,entry_fee_child_indian_inr,connectivity,district,distance_from,visitor_tips,tips,seasonal_hours,nearby_attractions,suitable_for,lng,food_specialties,entry_fee_adult,aka,entry_fee_adult_indian_inr,open_hours_sun,stay_and_food,accessibility,taluka,avg_visit_mins,open_hours_fri,entry_fee_camera_fee_inr,open_hours_mon,temple,name,best_months,entry_fee_child,open_hours_wed,state,location,notes,id,lat,rating,city,type,village,disclaimer,entry_fee_foreign,open_hours_thu,festival_crowds,heritage,fees,darshan_timings,country,highlights,tags
,08:30-18:30,Sabarmati Ashram (Gandhi/Satyagraha Ashram) on the banks of the Sabarmati River was Mahatma Gandhi’s base from 1917–1930 and the starting point of the 1930 Dandi Salt March; the campus includes Hridaya Kunj and a museum designed by Charles Correa.,08:30-18:30,2025-09-01,"Dandi March origins, Hridaya Kunj, Gandhi Memorial Museum",,,,,,,,,"['Sabarmati Riverfront', 'Adalaj Stepwell', 'Sidi Saiyyed Mosque', 'Jama Masjid']","['solo', 'group', 'friends', 'couple', 'family', 'kids', 'seniors', 'history-buffs', 'educational']",72.58,,0,,,08:30-18:30,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,90,08:30-18:30,,08:30-18:30,,Sabarmati Ashram,"Nov, Dec, Jan, Feb, Mar",0,08:30-18:30,Gujarat,,Free entry; photography generally allowed outdoors with some gallery restrictions; mornings are calmer; plan extra time for the museum.,P_00001,23.06,4.7,Ahmedabad,heritage,,,0,08:30-18:30,,,,,India,,"history, Gandhi, museum, architecture"
,07:00-18:00,"A 16th-century mosque famed for its intricately carved stone lattice windows (jalis), especially the ‘Tree of Life’ motif, an unofficial symbol of Ahmedabad.",07:00-18:00,2025-09-01,"Tree of Life jali, Indo-Islamic stone latticework",,,,,,,,,"['Sabarmati Ashram', 'Jama Masjid', 'Bhadra Fort', 'Sabarmati Riverfront']","['solo', 'group', 'friends', 'couple', 'family', 'kids', 'seniors', 'photographers', 'history-buffs']",72.5811,,0,,,07:00-18:00,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,30,07:00-18:00,,07:00-18:00,,Sidi Saiyyed Mosque,"Nov, Dec, Jan, Feb, Mar",0,07:00-18:00,Gujarat,,Active place of worship; modest attire recommended; photography of jalis commonly allowed outside prayer times.,P_00002,23.0269,4.6,Ahmedabad,heritage,,,0,07:00-18:00,,,,,India,,"architecture, history, photography"
,08:00-18:00,"The world’s tallest statue at 182 m, depicting Sardar Vallabhbhai Patel on the Narmada River facing Sardar Sarovar Dam; the site includes a museum, exhibition hall, valley of flowers, and an observation deck with panoramic views.",08:00-18:00,2025-09-01,"world’s tallest statue, viewing gallery at 153 m, laser light and sound show",,,,,,,,,"['Sardar Sarovar Dam', 'Valley of Flowers', 'Cactus Garden', 'Butterfly Garden', 'Ekta Nursery']","['solo', 'group', 'friends', 'couple', 'family', 'kids', 'seniors', 'photographers', 'educational']",73.7191,,150,,,08:00-18:00,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,240,08:00-18:00,,Closed,,Statue of Unity,"Nov, Dec, Jan, Feb, Mar",90,08:00-18:00,Gujarat,,"Closed on Mondays; ticket types include Basic, Viewing Gallery, and Express; laser show in the evening; site buses shuttle visitors from parking; online booking recommended.",P_00003,21.838,4.6,Ekta Nagar (Kevadia),landmark,,,1530,08:00-18:00,,,,,India,,"monument, architecture, museum, viewing gallery, laser show"
,09:00-21:00,"A renowned private museum at Dastan Estate founded by Pranlal Bhogilal, displaying 100+ restored vintage and classic cars including Rolls-Royce, Bentley, Cadillac, Jaguar, and more; offers paid short rides in select vehicles.",09:00-21:00,2025-09-01,"vintage car collection, car rides, automobile heritage",,,,,,,,,"['Sabarmati Ashram', 'Calico Museum of Textiles', 'Kankaria Lake', 'Hutheesing Jain Temple']","['solo', 'group', 'friends', 'couple', 'family', 'kids', 'photographers', 'history-buffs']",72.6855,,50,,,09:00-21:00,,"{'wheelchair': False, 'public_transport': False, 'parking': True}",,90,09:00-21:00,,09:00-21:00,,Auto World Vintage Car Museum,"Nov, Dec, Jan, Feb, Mar",20,09:00-21:00,Gujarat,,Camera charges may apply; vintage car ride typically extra; timings and fees can vary—confirm before visiting.,P_00004,23.0573,4.4,Ahmedabad,museum,,,100,09:00-21:00,,,,,India,,"vintage cars, history, photography, automobile"
,10:00-20:00,"A sprawling science and edutainment campus with interactive galleries (Robotics, Aquatic, Nature Park), planetarium shows, IMAX/3D theatre experiences, a musical fountain, and hands-on exhibits designed to foster scientific temper among all ages.",10:00-20:00,2025-09-01,"Robotics Gallery, Aquatic Gallery, Planetarium, Musical Fountain",,,,,,,,,"['Ahmedabad One Mall', 'Vastrapur Lake', 'ISCON Mega Mall', 'SG Highway eateries']","['solo', 'group', 'friends', 'couple', 'family', 'kids', 'seniors', 'educational']",72.4973,,50,,,10:00-20:00,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,240,10:00-20:00,,Closed,,Gujarat Science City (Science City Ahmedabad),"Nov, Dec, Jan, Feb, Mar",20,10:00-20:00,Gujarat,,Attractions are ticketed separately; plan 3–5 hours for major galleries and shows; evenings feature the musical fountain; check official timings and show schedules as they vary by attraction.,P_00005,23.0715,4.4,Ahmedabad,science_park,,,50,10:00-20:00,,,,,India,,"science, museum, planetarium, aquarium, family"
,06:00-18:00,"Adalaj Step Well (Adalaj ni Vav/Rudabai Vav) is a five-storey 15th-century stepwell famed for intricate sandstone carvings and a blend of Solanki and Islamic styles, with three stairways converging at a central landing.",06:00-18:00,2025-09-01,"stone carvings, Indo-Islamic design",,,,,,,,,"['Sabarmati Ashram', 'Kankaria Lake']","['solo', 'group', 'friends', 'couple', 'family', 'kids', 'photographers', 'history-buffs']",72.5802,,25,,,06:00-18:00,,"{'wheelchair': False, 'public_transport': True, 'parking': True}",,60,06:00-18:00,,06:00-18:00,,Adalaj Step Well,"Nov, Dec, Jan, Feb, Mar",25,06:00-18:00,Gujarat,,Best visited early morning; entry fees and timings are subject to change; modest attire recommended.,P_00006,23.1667,4.5,Ahmedabad,heritage,,,300,06:00-18:00,,,,,India,,"architecture, history, photography"
,09:00-17:00,"A 19th-century Jain temple built in 1848 by the Hutheesing family, celebrated for its white marble Maru-Gurjara architecture, ornate jalis, cloistered courtyard with 52 shrines, and the 78-ft manastambha; dedicated to the 15th Tirthankara, Dharmanath.",09:00-17:00,2025-09-01,"white marble carvings, Maru-Gurjara style, 52 devakulika shrines, manastambha",,,,,,,,,"['Sabarmati Ashram', 'Sidi Saiyyed Mosque', 'Jama Masjid', 'Calico Museum of Textiles']","['solo', 'group', 'friends', 'couple', 'family', 'seniors', 'photographers', 'history-buffs', 'pilgrims']",72.5896,,0,,,09:00-17:00,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,45,09:00-17:00,,09:00-17:00,,Hutheesing Jain Temple,"Nov, Dec, Jan, Feb, Mar",0,09:00-17:00,Gujarat,,Active place of worship; modest attire requested; photography of interiors may be restricted; timings can vary on festival days.,P_00007,23.0411,4.6,Ahmedabad,heritage,,,0,09:00-17:00,,,,,India,,"Jain temple, architecture, history, photography, marble"
,09:00-22:00,"Ahmedabad’s major lakefront recreation zone featuring the central Nagina Wadi island, Kamla Nehru Zoo, toy train, tethered balloon ride, amusement rides, gardens, and evening activities around a refurbished promenade.",09:00-22:00,2025-09-01,"Nagina Wadi, Kamla Nehru Zoo, toy train, balloon ride, Kankaria Carnival",,,,,,,,,"['Maninagar Market', 'Sabarmati Riverfront', 'Calico Museum of Textiles', 'Jama Masjid']","['family', 'kids', 'group', 'friends', 'couple', 'seniors', 'photographers', 'nature', 'educational']",72.6026,,10,,,09:00-22:00,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,150,09:00-22:00,,09:00-22:00,,Kankaria Lake,"Nov, Dec, Jan, Feb, Mar",5,09:00-22:00,Gujarat,,Attractions inside the lakefront have separate tickets and timings; evenings are lively; select rides are weather-dependent.,P_00008,23.006,4.5,Ahmedabad,waterfront,,,10,09:00-22:00,,,,,India,,"lakefront, parks, zoo, toy train, boating, family"
,06:00-18:00,"A vast 15th-century Sufi mosque and tomb complex in Makarba known as the ‘Acropolis of Ahmedabad’, showcasing Indo-Saracenic architecture with a grand tank, mosques, mausoleums, and pavilions linked to Shaikh Ahmed Khattu Ganj Baksh and the Gujarat Sultans.",06:00-18:00,2025-09-01,"Indo-Saracenic architecture, Ganj Baksh’s mausoleum, Ahmed-Sar tank, royal tombs",,,,,,,,,"['Vastrapur Lake', 'Sabarmati Riverfront', 'Hutheesing Jain Temple', 'Jama Masjid']","['solo', 'group', 'friends', 'couple', 'family', 'seniors', 'photographers', 'history-buffs', 'pilgrims']",72.5046,,0,,,06:00-18:00,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,90,06:00-18:00,,06:00-18:00,,Sarkhej Roza,"Nov, Dec, Jan, Feb, Mar",0,06:00-18:00,Gujarat,,Active religious site; modest attire requested; best visited in early morning or late afternoon; some areas may be closed during prayers or events.,P_00009,22.9921,4.6,Ahmedabad,heritage,,,0,06:00-18:00,,,,,India,,"Sufi, mosque, tomb complex, architecture, history, photography"
,16:00-20:00,"An underground art gallery designed by B. V. Doshi showcasing murals by M. F. Husain, featuring cave-like interconnected domes, organic columns, skylights, and a mosaic-tiled roof; formerly known as Husain–Doshi ni Gufa.",16:00-20:00,2025-09-01,"cave-like gallery, Doshi-Husain collaboration, mosaic domes, skylit interiors",,,,,,,,,"['CEPT University', 'Lalbhai Dalpatbhai Museum', 'Hutheesing Jain Temple', 'Sabarmati Riverfront']","['solo', 'friends', 'couple', 'family', 'photographers', 'art-lovers', 'architecture-enthusiasts', 'educational']",72.5494,,30,,,16:00-20:00,,"{'wheelchair': 'partially', 'public_transport': True, 'parking': True}",,45,16:00-20:00,,Closed,,Amdavad ni Gufa,"Nov, Dec, Jan, Feb, Mar",10,16:00-20:00,Gujarat,,Timings and exhibition schedules can vary due to special shows; located within the KL (CEPT) campus area; modest entry fee and occasional camera restrictions.,P_00010,23.0361,4.5,Ahmedabad,art_gallery,,,100,16:00-20:00,,,,,India,,"architecture, art, underground, modern"
